Name,abstract
Weather Impact on Solar Farm Performance: A Comparative Analysis of Machine Learning Techniques,"<jats:p>Forecasting the performance and energy yield of photovoltaic (PV) farms is crucial for establishing the economic sustainability of a newly installed system. The present study aims to develop a prediction model to forecast an installed PV system’s annual power generation yield and performance ratio (PR) using three environmental input parameters: solar irradiance, wind speed, and ambient air temperature. Three data-based artificial intelligence (AI) techniques, namely, adaptive neuro-fuzzy inference system (ANFIS), response surface methodology (RSM), and artificial neural network (ANN), were employed. The models were developed using three years of data from an operational 2MWp Solar PV Project at Kuzhalmannam, Kerala state, India. Statistical indices such as Pearson’s R, coefficient of determination (R2), root-mean-squared error (RMSE), Nash-Sutcliffe efficiency (NSCE), mean absolute-percentage error (MAPE), Kling-Gupta efficiency (KGE), Taylor’s diagram, and correlation matrix were used to determine the most accurate prediction model. The results demonstrate that ANFIS was the most precise performance ratio prediction model, with an R2 value of 0.9830 and an RMSE of 0.6. It is envisaged that the forecast model would be a valuable tool for policymakers, solar energy researchers, and solar farm developers.</jats:p>"
Voltage Sensorless Based Model Predictive Control With Battery Management System: For Solar PV Powered On-Board EV Charging,
Generation of green hydrogen using self-sustained regenerative fuel cells: Opportunities and challenges,"
                  The ever-increasing energy demand, depleting fossil fuel reserves, and rising temperatures due to greenhouse gas emissions have necessitated the transition towards the generation of green and clean energy through renewable energy sources. Solar energy is one such renewable energy source that has received significant attention owing to its abundance and inexhaustibility. However, solar energy alone cannot replace fossil fuels in the energy portfolio. There exists a need to develop another clean energy source that can potentially act as an alternative to conventional fuels. Hydrogen proves to be an ideal candidate in this domain and can be sustainably generated by water electrolysis by powering the electrolyzer using solar energy. The hydrogen thus synthesized has net zero carbon emissions and is a suitable asset for decarbonizing the environment. This review encompasses the generation of hydrogen using PV-Electrolyzer systems and addresses the challenges associated with the same. Overcoming these drawbacks can ensure a strong position for hydrogen as an alternative fuel in the energy infrastructure. By employing electrolyzers that are fueled by renewable energy and then using that hydrogen to feed a fuel cell, this study aims to clarify the potential and constraints of producing green hydrogen. Since this area of research has not yet been fully investigated, a review article that enables and encourages academics to develop original solutions is urgently needed.
               "
Design and investigation of PV string/central architecture for bayesian fusion technique using grey wolf optimization and flower pollination optimized algorithm,"
                  One of the most essential factors in the current study is effectively harvesting the Maximum Power Extraction (MPE) from the Photovoltaic (PV) panel. The primary difficulties in extracting solar power is occurrence of partial shading which causes the panel to significantly increases power loss. These will mainly occur due to when partially shaded solar PV array kept under certain critical conditions for obtaining maximum output power. Many researcher have suggested by connecting bypass diodes in anti-parallel to the PV modules hotspots in the modules can be avoided. Out of all techniques, the proposed Bayesian Fusion Technique (BFT) is a hybrid optimization algorithm that combines the Grey Wolf Optimization (GWO) and Flower Pollination Algorithm (FPA) techniques to optimize the performance of solar panels in photovoltaic (PV) systems. The combination of GWO and FPA forms an ideal combination that is beneficial for optimizing the performance of PV systems is determined in this work. In this study real 6*6 PV array string and irregular PV array configuration such as central and parallel-series PV string combination of various partial shading pattern is compared and found to be effective for reducing the hotspots problems. The performance of these configuration under different shading patterns have been compared and analyzed with the different parameters like output power, conversion efficiency and tracking efficiency. This article state about the influence of partial darkening and the crucial point that reduce the sensitivity to shading heaviness. For better understanding for reader the MATLAB/Simulink software is used to validate the simulation result with real time data. Overall, this article states the BFT is an efficient and reliable approach to improve the efficiency of PV systems, by combining two optimization techniques like GWO and FPA hybrid algorithm. This article gives clear insight to the researchers for choosing BFT-GWO algorithm in order to decrease the cost and wastage of energy for achieving better solar panel performance.
               "
An improved genetic algorithm based fractional open circuit voltage MPPT for solar PV systems,"To extract the maximum power from solar PV, maximum power point tracking (MPPT) controllers are needed to operate the PV arrays at their maximum power point under varying environmental conditions. Fractional Open Circuit Voltage (FOCV) is a simple, cost-effective, and easy to implement MPPT technique. However, it suffers from the discontinuous power supply and low tracking efficiency. To overcome these drawbacks, a new hybrid MPPT technique based on the Genetic Algorithm (GA) and FOCV is proposed. The proposed technique is based on a single decision variable, reducing the complexity and convergence time of the algorithm. MATLAB/Simulink is used to test the robustness of the proposed technique under uniform and non-uniform irradiance conditions. The performance is compared to the Perturb & Observe, Incremental Conductance, and other hybrid MPPT techniques. Furthermore, the efficacy of the proposed technique is also assessed against a commercial PV system’s power output over one day. The results demonstrate that the proposed GA-FOCV technique improves the efficiency of the conventional FOCV method by almost 3%, exhibiting an average tracking efficiency of 99.96% and tracking speed of around 0.07 s with minimal steady-state oscillations. Additionally, the proposed technique can also efficiently track the global MPP under partial shading conditions and offers faster tracking speed, higher efficiency, and fewer oscillations than other hybrid MPPT techniques."
"Solar Energy: Applications, Trends Analysis, Bibliometric Analysis and Research Contribution to Sustainable Development Goals (SDGs)","<jats:p>Over the past decade, energy demand has witnessed a drastic increase, mainly due to huge development in the industry sector and growing populations. This has led to the global utilization of renewable energy resources and technologies to meet this high demand, as fossil fuels are bound to end and are causing harm to the environment. Solar PV (photovoltaic) systems are a renewable energy technology that allows the utilization of solar energy directly from the sun to meet electricity demands. Solar PV has the potential to create a reliable, clean and stable energy systems for the future. This paper discusses the different types and generations of solar PV technologies available, as well as several important applications of solar PV systems, which are “Large-Scale Solar PV”, “Residential Solar PV”, “Green Hydrogen”, “Water Desalination” and “Transportation”. This paper also provides research on the number of solar papers and their applications that relate to the Sustainable Development Goals (SDGs) in the years between 2011 and 2021. A total of 126,513 papers were analyzed. The results show that 72% of these papers are within SDG 7: Affordable and Clean Energy. This shows that there is a lack of research in solar energy regarding the SDGs, especially SDG 1: No Poverty, SDG 4: Quality Education, SDG 5: Gender Equality, SDG 9: Industry, Innovation and Infrastructure, SDG 10: Reduced Inequality and SDG 16: Peace, Justice and Strong Institutions. More research is needed in these fields to create a sustainable world with solar PV technologies.</jats:p>"
Techno-economic assessment of green hydrogen and ammonia production from wind and solar energy in Iran,"
                  This paper presents a comprehensive technical and economic assessment of potential green hydrogen and ammonia production plants in different locations in Iran with strong wind and solar resources. The study was organized in five steps. First, regarding the wind density and solar PV potential data, three locations in Iran were chosen with the highest wind power, solar radiation, and a combination of both wind/solar energy. All these locations are inland spots, but since the produced ammonia is planned to be exported, it must be transported to the export harbor in the South of Iran. For comparison, a base case was also considered next to the export harbor with normal solar and wind potential, but no distance from the export harbor. In the second step, a similar large-scale hydrogen production facility with proton exchange membrane electrolyzers was modeled for all these locations using the HOMER Pro simulation platform. In the next step, the produced hydrogen and the nitrogen obtained from an air separation unit are supplied to a Haber-Bosch process to synthesize ammonia as a hydrogen carrier. Since water electrolysis requires a considerable amount of water with specific quality and because Iran suffers from water scarcity, this paper, unlike many similar research studies, addresses the challenges associated with the water supply system in the hydrogen production process. In this regard, in the fourth step of this study, it is assumed that seawater from the nearest sea is treated in a desalination plant and sent to the site locations. Finally, since this study intends to evaluate the possibility of green hydrogen export from Iran, a detailed piping model for the transportation of water, hydrogen, and ammonia from/to the production site and the export harbor is created in the last step, which considers the real routs using satellite images, and takes into account all pump/compression stations required to transport these media. This study provides a realistic cost of green hydrogen/ammonia production in Iran, which is ready to be exported, considering all related processes involved in the hydrogen supply chain.
               "
Synergies and potential of hybrid solar photovoltaic-thermal desalination technologies,"Solar desalination has emerged as a sustainable solution for addressing global water scarcity in the energy-water nexus, particularly for remote areas in developing countries. How to use the light spectrum through solar devices can profoundly affect the solar energy utilization, desalination rates, off-grid applicability, and water affordability. Solar photovoltaic (PV) and solar thermal (ST) respectively have enabled a variety of interesting solar desalination technologies, but the resulting applications usually limit the integration between solar and desalination to be either electrically or thermally connected. Here this review paper explores smart co-uses of heat and electricity from the sun to improve the efficiency, productivity, and independence of various solar desalination processes. It is found that coupling solar photovoltaic-thermal (PVT) with desalination could be a practical and immediately deployable route for plausibly more sustainable solar desalination than current solutions, because the combined electrical and thermal energy outputs from PVT panels could be used synergistically to catalyze the improvement on the solar energy efficiency, specific energy consumption, and specific water production, as well as the operational independence for off-grid applications. Our preliminary analysis indicated an up to 20 % lower cost of PVT-desalination than current solar PV-desalination and ST-desalination but also with challenges discussed."
Research on the evolution of China's photovoltaic technology innovation network from the perspective of patents,"Photovoltaic (PV) technology, as a low-carbon energy technology, is crucial to mitigating climate change and achieving sustainable development. China has the largest total number of PV technology patents in the world, but the lack of core technologies has restricted the further innovative development of China's PV industry. Therefore, it is necessary to clarify China's current PV technology accumulation to better catch up with key technology areas. To clearly describe the structural characteristics of China's PV technology innovation network, this study uses China's patent PV technology data over the past 20 years from the Incopat global patent database and analyses the structural characteristics of the network from the perspectives of one-mode and two-mode networks, using method of social network analysis (SNA). The results show that 1) the leading PV enterprises have basically formed relatively stable internal collaborations and that the scale of innovation network development has expanded rapidly, with very strong stamina; 2) with the development of China's PV industry, many innovative PV techniques have been developed by leading enterprises in the field of innovation and research and development (R&D) of PV technology, and among patent applicants with strong collaboration, kinship collaboration with investment relationships is dominant; 3) provinces participating in PV technology innovation are increasing significantly, the network is more influenced by leading nodes, and the eastern coastal provinces are pioneers in the innovation and R&D of PV technology; and 4) PV technological innovation collaboration between patent applicants and cities has changed from local collaboration to cross-regional collaboration, high-value areas are basically concentrated in the eastern coastal region of China, with scattered spatial characteristics, and cross-regional collaboration presents a “triangular” spatial structure, with the Yangtze River Delta, Pearl River Delta, and Beijing-Tianjin-Hebei as cores. The conclusions can provide patent information support for scientific research on energy conservation and emission reduction to achieve low-carbon goals, and can also provide reference for policy formulation of renewable energy development and green development strategies."
Electrolysis of low-grade and saline surface water,
Wind speed forecasting based on the hybrid ensemble empirical mode decomposition and GA-BP neural network method,"
                  Wind speed is the major factor that affects the wind generation, and in turn the forecasting accuracy of wind speed is the key to wind power prediction. In this paper, a wind speed forecasting method based on improved empirical mode decomposition (EMD) and GA-BP neural network is proposed. EMD has been applied extensively for analyzing nonlinear stochastic signals. Ensemble empirical mode decomposition (EEMD) is an improved method of EMD, which can effectively handle the mode-mixing problem and decompose the original data into more stationary signals with different frequencies. Each signal is taken as an input data to the GA-BP neural network model. The final forecasted wind speed data is obtained by aggregating the predicted data of individual signals. Cases study of a wind farm in Inner Mongolia, China, shows that the proposed hybrid method is much more accurate than the traditional GA-BP forecasting approach and GA-BP with EMD and wavelet neural network method. By the sensitivity analysis of parameters, it can be seen that appropriate settings on parameters can improve the forecasting result. The simulation with MATLAB shows that the proposed method can improve the forecasting accuracy and computational efficiency, which make it suitable for on-line ultra-short term (10 min) and short term (1 h) wind speed forecasting.
               "
ERA5: The new champion of wind power modelling?,"
                  Output from meteorological reanalyses are used extensively in both academia and industry for modelling wind power. Recently, the first batch of the new ERA5 reanalysis was released. The main purpose of this paper is to compare the performance of ERA5 and MERRA-2 (a commonly used reanalysis today) in terms of modelling i) the aggregated wind generation in five different countries and ii) the generation for 1051 individual wind turbines in Sweden. The modelled wind power generation was compared to measurements. In conclusion, ERA5 performs better than MERRA-2 in all analysed aspects; correlations are higher, mean absolute and root mean square errors are in average around 20% lower and distributions of both hourly data and changes in hourly data are more similar to those for measurements. It is also shown that the uncertainty related to long-term correction (using one year of measurements and reanalysis data to predict the energy production during the remaining 1–5 years) is 20% lower for ERA5. In fact, using one year sample data and ERA5 gives slightly more accurate estimates than using two years of sample data and MERRA-2. Additionally, a new metric for quantifying the system size and dispersion of wind farms is proposed.
               "
"Feasibility study of an islanded microgrid in rural area consisting of PV, wind, biomass and battery energy storage system","
                  Renewable energy systems are proving to be promising and environment friendly sources of electricity generation, particularly, in countries with inadequate fossil fuel resources. In recent years, wind, solar photovoltaic (PV) and biomass based systems have been drawing more attention to provide electricity to isolated or energy deficient regions. This paper presents a hybrid PV-wind generation system along with biomass and storage to fulfill the electrical load demand of a small area. For optimal sizing of components, a recently introduced swarm based artificial bee colony (ABC) algorithm is applied. To verify the strength of the proposed technique, the results are compared with the results obtained from the standard software tool, hybrid optimization model for electric renewable (HOMER) and particle swarm optimization (PSO) algorithm. It has been verified from the results that the ABC algorithm has good convergence property and ability to provide good quality results. Further, for critical case such as the failure of any source, the behavior of the proposed system has been observed. It is evident from the results that the proposed scheme is able to manage a smooth power flow with the same optimal configuration.
               "
Real-Time Energy Storage Management for Renewable Integration in Microgrid: An Off-Line Optimization Approach,
Techno-economic optimization of hybrid photovoltaic/wind generation together with energy storage system in a stand-alone micro-grid subjected to demand response,"
                  Regarding the importance of supplying energy to regions that are far from power systems, this study is devoted to analyzing and modeling of a stand-alone micro-grid. In spite of many studies in the case of demand response programming for optimal management and operation cost reduction of the micro-grids, and regarding the importance of size optimization of micro-grids, this paper seeks to examine and investigate the ability of demand response programming in the case of component size optimization of a micro-grid. Due to deficiency or unavailability of dispatchable energy recourses, only the nondispatchable renewable energy resources (wind and solar energy) are considered to supply the required energy. Applied strategy for effective component size optimization as well as relevant costs reduction is implemented by reducing or eliminating the mismatch between the generation and consumption profiles by time shift and schedule of dispatchable loads. Furthermore, the effect of demand response utilization on loss of generated energy reduction is studied. The optimized results with and without demand response are extracted and compared to each other.
                  For each case, the optimum configuration was determined. Obtained results indicated that application of the demand response program, reduced the number of required batteries, the required inverter and photovoltaic cells capacity, and, consequently, the total net present costs. Furthermore, demand response implementation reduced the peak of consumed loads and increased the consumed load factor and correlation factor. The micro-grid components have been modeled mathematically within the framework of the mixed integer linear programming method. The optimization program has been performed by HOMER software together with GAMS software via the CPLEX solver.
               "
Optimal Prediction Intervals of Wind Power Generation,
Role of power-to-gas in an integrated gas and electricity system in Great Britain,"
                  Power-to-gas (PtG) converts electricity into hydrogen using the electrolysis process and uses the gas grid for the storage and transport of hydrogen. Hydrogen is injected into a gas network in a quantity and quality compatible with the gas safety regulations and thereby transported as a mixture of hydrogen and natural gas to demand centres. Once integrated into the electricity network, PtG systems can provide flexibility to the power system and absorb excess electricity from renewables to produce hydrogen. Injection of hydrogen into the gas network reduces gas volumes supplied from terminals.
                  In order to investigate this concept, hydrogen electrolysers were included as a technology option within an operational optimisation model of the Great Britain (GB) combined gas and electricity network (CGEN). The model was used to determine the minimum cost of meeting the electricity and gas demand in a typical low and high electricity demand day in GB, in the presence of a significant capacity of wind generation. The value of employing power-to-gas systems in the gas and electricity supply system was investigated given different allowable levels of hydrogen injections. The results showed that producing hydrogen from electricity is capable of reducing wind curtailment in a high wind case and decreasing the overall cost of operating the GB gas and electricity network. The northern part of GB was identified as a suitable region to develop hydrogen electrolysis and injection facilities due to its vicinity to a significant capacity of wind generation, as well as the existence of gas network headroom capacity, which is expected to increase as a result of depletion of UK domestic gas resources.
               "
Dealing with multiple decades of hourly wind and PV time series in energy models: A comparison of methods to reduce time resolution and the planning implications of inter-annual variability,"Using a high-resolution planning model of the Great Britain power system and 25years of simulated wind and PV generation data, this study compares different methods to reduce time resolution of energy models to increase their computational tractability: downsampling, clustering, and heuristics. By comparing model results in terms of costs and installed capacities across different methods, this study shows that the best method depends heavily on input data and the setup of model constraints. This implies that there is no one-size-fits-all approach to the problem of time step reduction, but heuristic approaches appear promising. In addition, the 25years of time series demonstrate considerable inter-year variability in wind and PV power output. This further complicates the problem of time detail in energy models as it suggests long time series are necessary. Model results with high shares of PV and wind generation using a single or few years of data are likely unreliable. Better modeling and planning methods are required to determine robust scenarios with high shares of variable renewables. The methods are implemented in the freely available open-source modeling framework Calliope."
The merit-order effect in the Italian power market: The impact of solar and wind generation on national wholesale electricity prices,"
                  Italy promoted one of the most generous renewable support schemes worldwide which resulted in a high increase of solar power generation. We analyze the Italian day-ahead wholesale electricity market, finding empirical evidence of the merit-order effect. Over the period 2005–2013 an increase of 1GWh in the hourly average of daily production from solar and wind sources has, on average, reduced wholesale electricity prices by respectively 2.3€/MWh and 4.2€/MWh and has amplified their volatility. The impact on prices has decreased over time in correspondence with the increase in solar and wind electricity production. We estimate that, over the period 2009–2013, solar production has generated higher monetary savings than wind production, mainly because the former is more prominent than the latter. However, in the solar case, monetary savings are not sufficient to compensate the cost of the related supporting schemes which are entirely internalized within end-user tariffs, causing a reduction of the consumer surplus, while the opposite occurs in the case of wind.
               "
The Impact of Economic Corridor and Tourism on Local Community's Quality of Life under One Belt One Road Context,"<jats:p> Economic corridors unlock new economic opportunities and tourism development in the region to achieve sustainable development goals. Green economic growth is conducive to environmental sustainability. Economic mega-projects of CPEC promote tourism that leads to communities’ well-being and better quality of life. Modern infrastructure development contributes significantly to economic growth and tourism activities. This study’s objectives emphasize exploring tourism and sustainable development pursuits under OBOR economic projects that open doors to improving residents' quality of life. The growing world is an eyewitness to a continuous rise in emissions and its severe consequences for humankind. It is necessary to show off the leading factors that result in tourism and economic activities causing environmental pollution rather than blame policymakers. Undoubtedly, many studies previously focused on demonstrating the influence of socio-economic factors that lead to better environmental quality. However, the empirical literature on tourism, social well-being, foreign direct investment, and the Environment in Belt and Road developed economies needed improvement. This research applied a series of advanced estimators that help demonstrate the study’s probable results. This study explores the role of Social well-being (HDI), tourism development, FDI, renewable energy, information &amp; communication technology (ICT), and urbanization on CO2 emissions in Belt and Road (BRI) developed economies.Estimated results exhibited the significant contribution of ICT and renewable energy to sustainability. Besides, FDI contributes to emissions reduction after its threshold level. Conversely, urbanization and tourism activities contribute to environmental pollution. The study outcomes stated inverted/EKC U-shaped hypotheses related to specified economies. Finally, the analysis based on the D-H panel causality test constructs exciting results.The present study concludes that economic corridor plays a vital role in tourism development, the community’s well-being, and SDGs goals (sustainable development) impact on environmental safety. The findings suggest essential and applicable policies to attain the desired sustainability level. Findings contribute to the literature on tourism, well-being, and sustainability. Further studies can use insights using this methodology. </jats:p>"
Applications of Green Synthesized Metal Nanoparticles - a Review,
The reformation of catalyst: From a trial-and-error synthesis to rational design,
A review of carbon dots in synthesis strategy,"
                  Among the carbon nanomaterials family, the fluorescent carbon dot has emerged as a significant member among the novel types of nanomaterials, and many researchers have introduced studies on its properties and potential applications. Carbon dots (CDs) have numerous outstanding characteristics, such as remarkable photostability, negligible cytotoxicity, exceptional biocompatibility, effortless surface modification, and remarkable chemical inertness. As a result, they have found extensive applications in various domains, including but not limited to cell imaging, in vivo imaging, drug delivery, fluorescence sensing, photocatalysis, production of polychromatic light emitting diodes (LEDs), energy conversion and storage, etc. Recently, many synthesis strategies of carbon dots have been developed, but how to synthesize in a controlled way is still challenging. The focus of this article is to provide an overview of the advancements made in the production of carbon dots, with particular attention given to their synthesis techniques along with some discussion and provide a reference for the controllable synthesis and method selection of carbon dots.
               "
Race to carbon neutrality in South Africa: What role does environmental technological innovation play?,"
                  Governments worldwide have prioritized carbon reduction and neutrality to address the escalating threat of climate change. These goals are in line with the United Nations Sustainable Development Goals (UNSDG-13). These goals stress taking action on climate change to lessen the bad effects of human activities and using fossil fuels for energy. To this end, the present study investigates the connection between conventional energy usage, agricultural practices, economic growth, and their impact on environmental sustainability in South Africa. Additionally, it explores the role of renewable energy consumption and environmental technological innovation in mitigating these effects. To achieve the study objectives, a carbon-income function is fitted with an annual frequency data from 1975 to 2020. The present study leverages on Pesaran's Autoregressive distributed lag (ARDL) method and for robustness analysis the dynamic ARDL simulations method to simultaneously explore the short and long-run coefficients of the study's outlined variables. Empirical analysis, confirmed by bounds testing for cointegration, reveals a long-term equilibrium relationship among the variables considered. Notably, economic growth, fossil fuel energy consumption, and agricultural activities have adverse effects on environmental sustainability in South Africa, indicating a trade-off between economic growth and environmental quality. Dynamic ARDL simulations provide further evidence of an Environmental Kuznets Curve (EKC) phenomenon. However, renewable energy consumption and environmental technological innovation positively influence environmental quality. These findings highlight the imperative for South Africa and its stakeholders to adopt green growth policies and transition to cleaner energy alternatives.
               "
"Toward fostering environmental innovation in OECD countries: Do fiscal decentralization, carbon pricing, and renewable energy investments matter?","
                  Environmental innovation is an integral part of sustainable development goal (SDG) 9. It also provides the foundation for green energy production, and thus, indirectly supports the accomplishment of SDG 7. Notably, the energy transition from fossil fuel to renewables is critical for achieving sustainable development and a cleaner environment. Therefore, this study explores the major driving forces of environmental innovation in 29 OECD countries from 1993 to 2019 by incorporating environmental taxation, carbon pricing policy, budget for renewable energy development and demonstration, regional authority, financial development, and globalization. The recently proposed Quantile via Movements methodology is employed to address the spiral dependence of explanatory variables and obtain results at different quantiles. The findings of Quantile via movements reveal that enhancing environmental taxation and strengthening carbon pricing policies encourage environmental innovation. Moreover, these countries should decentralize policymaking and delegate authority to regions. Alongside this, policymaking for encouraging the private sector budgets for renewable energy development and demonstration is necessary. The stringent policy regulations at the regional level can enhance the innovation of domestic industries concerning the development, adoption, and commercial competitiveness of environment-friendly technologies. Furthermore, the financial sector’s development enhances environmental innovation, while globalization needs to be properly regulated.
               "
Enhancing resource efficiency through the utilization of the green bond market: An empirical analysis of Asian economies,"
                  This research explores the effects of the green bonds market on resource efficiency across 12 actively involved Asian economies from 2015 to 2022. The empirical results indicate a positive connection between green bond issuance and resource efficiency, suggesting that a 1% increase in green bonds corresponds to significant short-term (0.33%) and long-term (0.43%) improvements. Surprisingly, a negative relationship is observed between GDP growth and resource efficiency, implying that economic expansion may contribute to heightened resource consumption. The study highlights the favorable impact of renewable power generation on resource efficiency, driven by the sustainability of renewable energy sources. Nevertheless, challenges arise from poverty ratios and consumer price indices, impeding the adoption of resource-efficient technology. Furthermore, while cell phone penetration initially benefits resource efficiency, a negative correlation emerges in the long term due to increased non-renewable energy consumption. In light of these findings, the study recommends practical policies for sustainable development, including actively promoting the green bonds market, targeted investments in renewable energy, and initiatives to address economic disparities while encouraging resource-efficient practices.
               "
Research on the evolution of China's photovoltaic technology innovation network from the perspective of patents,"Photovoltaic (PV) technology, as a low-carbon energy technology, is crucial to mitigating climate change and achieving sustainable development. China has the largest total number of PV technology patents in the world, but the lack of core technologies has restricted the further innovative development of China's PV industry. Therefore, it is necessary to clarify China's current PV technology accumulation to better catch up with key technology areas. To clearly describe the structural characteristics of China's PV technology innovation network, this study uses China's patent PV technology data over the past 20 years from the Incopat global patent database and analyses the structural characteristics of the network from the perspectives of one-mode and two-mode networks, using method of social network analysis (SNA). The results show that 1) the leading PV enterprises have basically formed relatively stable internal collaborations and that the scale of innovation network development has expanded rapidly, with very strong stamina; 2) with the development of China's PV industry, many innovative PV techniques have been developed by leading enterprises in the field of innovation and research and development (R&D) of PV technology, and among patent applicants with strong collaboration, kinship collaboration with investment relationships is dominant; 3) provinces participating in PV technology innovation are increasing significantly, the network is more influenced by leading nodes, and the eastern coastal provinces are pioneers in the innovation and R&D of PV technology; and 4) PV technological innovation collaboration between patent applicants and cities has changed from local collaboration to cross-regional collaboration, high-value areas are basically concentrated in the eastern coastal region of China, with scattered spatial characteristics, and cross-regional collaboration presents a “triangular” spatial structure, with the Yangtze River Delta, Pearl River Delta, and Beijing-Tianjin-Hebei as cores. The conclusions can provide patent information support for scientific research on energy conservation and emission reduction to achieve low-carbon goals, and can also provide reference for policy formulation of renewable energy development and green development strategies."
Recent advancement and assessment of green hydrogen production technologies,"
                  Hydrogen energy has garnered substantial support from industry, government, and the public, positioning it as a pivotal future fuel source. However, its commercial realisation faces significant hurdles, including slow infrastructure growth and the high cost of producing clean hydrogen. This review uniquely emphasises the different colour codes of hydrogen, which have been rarely discussed in the literature to date. Hydrogen production methods are classified by colour codes, with green hydrogen, produced from renewable sources such as wind and solar, being the most desirable option. The demand for green hydrogen across various sectors is expected to surge. This review comprehensively evaluates the major hydrogen production methods based on cost, environmental impact, and technological maturity. Recent data confirm the increased efficiency, cost-competitiveness, and scalability of green hydrogen production technologies. The cost of green hydrogen has declined significantly, making it competitive with blue hydrogen (produced from fossil fuels with carbon capture). The review also scrutinises several recent hydrogen production technologies, highlighting their advantages, disadvantages, and technological readiness. Among these, the solid oxide electrolysis cell (SOEC) currently outperforms others, with anion exchange membrane (AEM) and electrified steam methane reforming (ESMR) also showing promise. This review also succinctly summarises global progress in hydrogen infrastructure and policies. By spotlighting the diverse colour codes of hydrogen and discussing the crucial takeaways and implications for the future, this review offers a comprehensive overview of the hydrogen energy landscape. This unique focus enriches the literature and enhances our understanding of hydrogen as a promising energy source.
               "
"Modeling the linkage between climate-tech, energy transition, and CO2 emissions: Do environmental regulations matter?","
                  The transition from conventional energy to clean energy is the ultimate strategy to reduce global CO2 emissions. In this regard, climate technologies (climate-tech) can pave the way toward achieving the capabilities required to promote alternative energy and energy saving. In addition, environmental regulations can support technological upgrading, energy transition, and emissions reduction to promote sustainable development. With this in view, this study investigates the impact of climate technologies (climate-tech) and energy transitions on CO2 emissions in the European Union (EU) member countries. Further, we examine the role of environmental regulation in the relationship between climate-tech, energy transition, and CO2 emissions. The empirical analysis is conducted based on international panel data for 26 EU countries ranging from 1994 to 2019, and the Common Correlated Effects Mean Group (CCE-MG) method is employed to estimate the coefficients of the variables. The outcomes of the analysis indicate that both climate-tech and energy transitions mitigate environmental degradation by reducing carbon emissions. Additionally, environmental regulations are found to be an effective monitoring and controlling tool that can significantly reduce CO2 emissions. Moreover, economic growth and urbanization as control variables contribute to increasing CO2 emissions, thus negatively affecting environmental sustainability. The causal analysis demonstrates that decision-making trends related to climate-tech, energy transition, and environmental regulations influence CO2 emissions. Conversely, strategies for coping with CO2 emissions and climate change will affect energy transitions and environmental regulations. In light of these analytical findings, this paper proposes that EU countries should vigorously develop climate-related green technologies and actively promote the energy transition process along with the implementation of environmental regulations for sustainable development.
               "
"Green innovation, foreign investment and carbon emissions: a roadmap to sustainable development via green energy and energy efficiency for BRICS economies",
A short review on generation of green fuel hydrogen through water splitting,"
                  Hydrogen is considered as a promising clean and renewable energy carrier and an attractive alternative to fossil fuels. A potential and cheapest way to produce hydrogen is involving water splitting either by light or electricity. The vital step involved in water splitting is the hydrogen evolution reaction (HER) which requires the use of an efficient catalyst to lower its large overpotential value. Therefore, the development of earth-abundant photocatalysts and electrocatalysts with high activity and long-term stability for hydrogen generation gains major attention. The present review summarizes the mechanism of hydrogen production via water splitting utilizing different metal-based and metal-free photocatalysts and electrocatalysts. Different strategies adopted to improve the catalytic activity of electrocatalysts and photocatalysts for water splitting are discussed. Finally, the challenges and future scope of hydrogen evolution reaction are briefly summarized.
               "
Novel Pt-carbon core-shell decorated hierarchical CoMo2S4 as efficient electrocatalysts for alkaline/seawater hydrogen evolution reaction,"
                  Electrochemical water electrolysis is a prominent method of green-hydrogen fuel production. Tailored nanostructures of Pt-based electrocatalysts have high priority in hydrogen production. Herein, we fabricated carbon-encapsulated Pt core–shell supported CoMo2S4-NGNF as an efficient electrocatalyst for the hydrogen evolution reaction (HER). The novel carbon-encapsulated Pt core shells improved the long-term durability. The Pt@CoMo2S4-NGNF hybrids displayed overpotentials of 27 mV to achieve a current density of 10 mA cm−2
                     in 1.0 M KOH and outstanding durability of 100 h. When Pt@CoMo2S4-NGNF∥IrO2 was employed in overall seawater electrolysis applications, it required 1.54 V to achieve a 10 mA cm−2
                     current density. Additionally, we evaluated the electronic structure and HER mechanism of Pt@CoMo2S4 & CoMo2S4 using density functional theory (DFT) calculations. This work illustrates the possibility of designing an effective, long-lasting, and scalable electrocatalyst for the electrolysis of alkaline and seawater to produce pure hydrogen.
               "
